Date,Time,TDS,Turbidity,Temperature
2024-10-07T19:12:05, 554, 371,18.25,
2024-10-07T19:12:11, 495, 319,18.19,
2024-10-07T19:12:17, 460, 308,18.25,
2024-10-07T19:12:23, 442, 303,18.19,
2024-10-07T19:12:29, 430, 303,18.25,
2024-10-07T19:12:35, 423, 301,18.25,
2024-10-07T19:12:41, 417, 300,18.25,
2024-10-07T19:12:47, 415, 299,18.25,
2024-10-07T19:12:53, 415, 298,18.19,
2024-10-07T19:12:59, 414, 298,18.19,
2024-10-07T19:13:05, 415, 298,18.19,
2024-10-07T19:13:11, 415, 298,18.19,
2024-10-07T19:13:17, 415, 298,18.19,
2024-10-07T19:13:23, 415, 298,18.19,
2024-10-07T19:13:29, 416, 298,18.19,
2024-10-07T19:13:35, 416, 298,18.19,
2024-10-07T19:13:41, 416, 298,18.19,
2024-10-07T19:13:47, 415, 297,18.25,
2024-10-07T19:13:54, 415, 297,18.25,
2024-10-07T19:14:00, 416, 298,18.25,
2024-10-07T19:14:06, 416, 298,18.25,
2024-10-07T19:14:12, 416, 298,18.25,
2024-10-07T19:14:18, 416, 297,18.25,
2024-10-07T19:14:24, 415, 297,18.25,
2024-10-07T19:14:30, 415, 298,18.19,
2024-10-07T19:14:36, 415, 297,18.19,
2024-10-07T19:14:42, 415, 297,18.19,
2024-10-07T19:14:48, 414, 297,18.25,
2024-10-07T19:14:54, 414, 297,18.25,
2024-10-07T19:15:00, 415, 298,18.25,
2024-10-07T19:15:06, 415, 298,18.25,
2024-10-07T19:15:12, 415, 298,18.25,
2024-10-07T19:15:18, 416, 298,18.19,
2024-10-07T19:15:24, 417, 298,18.25,
2024-10-07T19:15:30, 417, 298,18.25,
2024-10-07T19:15:36, 416, 298,18.25,
2024-10-07T19:15:42, 416, 298,18.19,
2024-10-07T19:15:48, 417, 298,18.25,
2024-10-07T19:15:54, 417, 298,18.25,
2024-10-07T19:16:00, 416, 298,18.25,
2024-10-07T19:16:06, 417, 298,21.12,
2024-10-07T19:16:12, 416, 299,24.87,
2024-10-07T19:16:18, 417, 299,27.0,
2024-10-07T19:16:24, 417, 299,27.56,
2024-10-07T19:16:30, 417, 299,27.37,
2024-10-07T19:16:36, 418, 299,27.06,
2024-10-07T19:16:42, 417, 299,26.69,
2024-10-07T19:16:48, 418, 299,26.31,
2024-10-07T19:16:54, 419, 300,26.0,
2024-10-07T19:17:00, 419, 300,25.62,
2024-10-07T19:17:06, 419, 300,25.31,
2024-10-07T19:17:12, 419, 299,25.0,
2024-10-07T19:17:18, 418, 300,24.75,
2024-10-07T19:17:24, 420, 300,24.44,
2024-10-07T19:17:30, 420, 299,24.19,
2024-10-07T19:17:36, 421, 300,23.94,
2024-10-07T19:17:42, 421, 301,23.69,
2024-10-07T19:17:48, 421, 300,23.5,
2024-10-07T19:17:54, 420, 300,23.25,
2024-10-07T19:18:00, 420, 300,23.06,
2024-10-07T19:18:06, 419, 300,22.87,
2024-10-07T19:18:12, 419, 300,22.75,
2024-10-07T19:18:18, 419, 299,22.56,
2024-10-07T19:18:24, 419, 299,22.37,
2024-10-07T19:18:30, 418, 299,22.25,
2024-10-07T19:18:36, 418, 299,22.12,
2024-10-07T19:18:42, 418, 299,21.94,
2024-10-07T19:18:48, 418, 299,21.87,
2024-10-07T19:18:54, 417, 299,21.75,
2024-10-07T19:19:00, 417, 299,21.62,
2024-10-07T19:19:06, 417, 299,21.5,
2024-10-07T19:19:12, 417, 299,21.37,
2024-10-07T19:19:18, 417, 299,21.31,
2024-10-07T19:19:24, 417, 299,21.19,
2024-10-07T19:19:30, 417, 299,21.12,
2024-10-07T19:19:36, 417, 299,21.06,
2024-10-07T19:19:42, 416, 299,20.94,
2024-10-07T19:12:05, 351, 262,20.5,
2024-10-07T19:12:11, 364, 277,20.37,
2024-10-07T19:12:17, 376, 282,20.37,
2024-10-07T19:12:23, 385, 285,20.31,
2024-10-07T19:12:29, 392, 287,20.25,
2024-10-07T19:12:35, 396, 289,20.19,
2024-10-07T19:12:41, 400, 290,20.12,
2024-10-07T19:12:47, 403, 291,20.06,
2024-10-07T19:12:53, 406, 292,20.0,
2024-10-07T19:12:59, 407, 292,20.0,
2024-10-07T19:13:05, 409, 293,19.87,
2024-10-07T19:13:11, 410, 293,19.87,
2024-10-07T19:13:17, 411, 294,19.81,
2024-10-07T19:13:23, 412, 296,19.75,
2024-10-07T19:13:29, 413, 297,19.75,
2024-10-07T19:13:35, 414, 297,19.69,
2024-10-07T19:13:41, 414, 297,19.69,
2024-10-07T19:13:47, 414, 297,19.62,
2024-10-07T19:13:53, 415, 297,19.56,
2024-10-07T19:13:59, 415, 298,19.56,
2024-10-07T19:14:06, 415, 298,19.5,
2024-10-07T19:14:12, 415, 298,19.44,
2024-10-07T19:14:18, 416, 298,19.44,
2024-10-07T19:14:24, 416, 298,19.37,
2024-10-07T19:14:30, 416, 298,19.37,
2024-10-07T19:14:36, 416, 298,19.31,
2024-10-07T19:14:42, 416, 298,19.31,
2024-10-07T19:14:48, 416, 298,19.25,
2024-10-07T19:14:54, 416, 298,19.25,
2024-10-07T19:15:00, 415, 299,19.25,
2024-10-07T19:15:06, 415, 299,19.19,
2024-10-07T19:15:12, 415, 298,19.19,
2024-10-07T19:15:18, 415, 299,19.19,
2024-10-07T19:15:24, 415, 298,19.12,
2024-10-07T19:15:30, 415, 299,19.06,
2024-10-07T19:15:36, 415, 299,19.06,
2024-10-07T19:15:42, 415, 299,19.06,
2024-10-07T19:15:48, 415, 299,19.0,
2024-10-07T19:15:54, 415, 299,19.0,
2024-10-07T19:16:00, 415, 299,19.0,
2024-10-07T19:16:06, 415, 299,18.94,
2024-10-07T19:16:12, 415, 299,18.94,
2024-10-07T19:16:18, 416, 299,18.87,
2024-10-07T19:16:24, 416, 299,18.87,
2024-10-07T19:16:30, 416, 299,18.87,
2024-10-07T19:16:36, 416, 299,18.87,
2024-10-07T19:16:42, 416, 299,18.87,
2024-10-07T19:16:48, 416, 299,18.81,
2024-10-07T19:16:54, 416, 299,18.81,
2024-10-07T19:17:00, 416, 299,18.81,
2024-10-07T19:17:06, 416, 299,18.81,
Time, TDS, Turbidity,,
Time, TDS, Turbidity,,
Time, TDS, Turbidity,,
Time, TDS, Turbidity,,
2024-10-07T19:12:05, 390, 282,18.31,
2024-10-07T19:12:11, 407, 291,18.31,
2024-10-07T19:12:17, 412, 294,18.31,
2024-10-07T19:12:23, 415, 295,18.31,
2024-10-07T19:12:29, 417, 296,18.31,
2024-10-07T19:12:35, 418, 296,18.31,
2024-10-07T19:12:41, 418, 297,18.31,
2024-10-07T19:12:47, 418, 297,18.31,
2024-10-07T19:12:53, 418, 297,18.31,
2024-10-07T19:12:59, 417, 297,18.31,
2024-10-07T19:13:05, 417, 297,18.25,
2024-10-07T19:13:11, 417, 297,18.25,
2024-10-07T19:13:17, 416, 297,18.31,
2024-10-07T19:13:23, 416, 297,18.25,
2024-10-07T19:13:29, 416, 298,18.31,
2024-10-07T19:13:35, 416, 298,18.25,
2024-10-07T19:13:41, 417, 298,18.25,
2024-10-07T19:13:47, 417, 298,18.25,
Time, TDS, Turbidity,,
2024-10-21T21:29:05, 424, 303,18.25,
2024-10-21T21:29:11, 425, 301,18.25,
2024-10-21T21:29:17, 424, 301,18.25,
2024-10-21T21:29:23, 422, 300,18.25,
2024-10-21T21:29:29, 420, 300,18.25,
2024-10-21T21:29:35, 419, 299,18.25,
2024-10-21T21:29:41, 418, 299,18.25,
2024-10-21T21:29:47, 417, 299,18.25,
2024-10-21T21:29:53, 416, 299,18.25,
2024-10-21T21:29:59, 373, 261,18.25,
2024-10-21T21:30:05, 426, 310,18.25,
2024-10-21T21:30:11, 419, 300,18.25,
2024-10-21T21:30:17, 417, 299,18.25,
2024-10-21T21:30:23, 415, 299,18.25,
2024-10-21T21:30:29, 415, 299,18.25,
2024-10-21T21:30:35, 415, 298,18.25,
2024-10-21T21:30:41, 415, 298,18.25,
2024-10-21T21:30:48, 414, 298,18.25,
2024-10-21T21:30:54, 415, 298,18.25,
2024-10-21T21:31:00, 415, 298,18.25,
2024-10-21T21:31:06, 415, 298,18.25,
2024-10-21T21:31:12, 415, 298,18.25,
2024-10-21T21:31:18, 415, 299,18.25,
2024-10-21T21:31:24, 414, 299,18.25,
2024-10-21T21:31:30, 414, 299,18.25,
2024-10-21T21:31:36, 414, 299,18.25,
2024-10-21T21:31:42, 414, 299,18.19,
2024-10-21T21:31:48, 414, 299,18.25,
2024-10-21T21:31:54, 414, 299,18.25,
2024-10-21T21:32:00, 414, 299,18.19,
2024-10-21T21:32:06, 414, 299,18.25,
2024-10-21T21:32:12, 414, 298,18.19,
2024-10-21T21:32:18, 413, 299,18.25,
2024-10-21T21:32:24, 413, 298,18.25,
2024-10-21T21:32:30, 413, 298,18.25,
2024-10-21T21:32:36, 416, 301,18.25,
2024-10-21T21:32:42, 414, 298,18.25,
2024-10-21T21:32:48, 415, 298,18.25,
2024-10-21T21:32:54, 415, 300,18.25,
2024-10-21T21:33:00, 415, 298,18.19,
Time, TDS, Turbidity,,
2024-10-21T21:29:05, 349, 226,17.5,
2024-10-21T21:29:11, 415, 273,17.19,
2024-10-21T21:29:17, 447, 290,17.44,
2024-10-21T21:29:23, 455, 295,17.56,
2024-10-21T21:29:29, 477, 302,17.06,
2024-10-21T21:29:35, 487, 306,16.75,
2024-10-21T21:29:41, 492, 309,17.31,
2024-10-21T21:29:47, 831, 568,17.31,
Time, TDS, Turbidity,,
2024-10-21T21:29:05, 283, 200,17.19,
2024-10-21T21:29:11, 326, 250,17.19,
2024-10-21T21:29:17, 407, 282,16.87,
2024-10-21T21:29:23, 446, 301,16.87,
2024-10-21T21:29:29, 465, 306,16.87,
2024-10-21T21:29:35, 474, 311,16.87,
2024-10-21T21:29:41, 484, 317,16.87,
2024-10-21T21:29:47, 479, 315,17.19,
2024-10-21T21:29:53, 472, 312,17.31,
2024-10-21T21:29:59, 466, 310,16.87,
2024-10-21T21:30:05, 459, 310,16.87,
2024-10-21T21:30:11, 452, 307,17.12,
2024-10-21T21:30:17, 447, 306,17.06,
2024-10-21T21:30:23, 442, 304,16.87,
2024-10-21T21:30:29, 437, 303,16.87,
2024-10-21T21:30:35, 434, 302,16.87,
2024-10-21T21:30:41, 432, 301,17.56,
2024-10-21T21:30:47, 428, 300,17.56,
2024-10-21T21:30:53, 426, 300,16.87,
Time, TDS, Turbidity,,
2024-10-23T20:22:05, 426, 301,16.87,
2024-10-23T20:22:11, 427, 301,16.87,
2024-10-23T20:22:17, 424, 300,16.87,
2024-10-23T20:22:23, 423, 300,16.87,
2024-10-23T20:22:29, 421, 299,16.94,
2024-10-23T20:22:35, 419, 298,16.94,
2024-10-23T20:22:41, 417, 298,16.87,
2024-10-23T20:22:47, 418, 298,16.87,
2024-10-23T20:22:53, 418, 298,16.87,
2024-10-23T20:22:59, 417, 297,16.87,
2024-10-23T20:23:05, 416, 297,16.87,
2024-10-23T20:23:11, 415, 297,16.87,
2024-10-23T20:23:18, 415, 297,16.87,
2024-10-23T20:23:24, 414, 297,16.87,
